,пятерочки,айди_магазина,магазины
44281,0,3693,2
44307,0,3695,2
44414,3,3704,11
44425,2,3705,4
44643,2,3723,6
44678,1,3726,6
44784,3,3735,7
45009,0,3753,2
45073,1,3759,5
45328,1,3780,5
45538,0,3798,0
45578,1,3801,5
45702,0,3811,6
46001,0,3836,0
46064,3,3841,11
46249,3,3857,9
46266,4,3858,7
46447,1,3873,4
46853,0,3907,3
46869,1,3908,4
46881,0,3909,3
46954,0,3916,3
47024,0,3921,1
47036,2,3922,8
47065,1,3925,3
47242,0,3940,3
47261,2,3941,8
47266,1,3942,2
47281,0,3943,2
47472,1,3959,4
47508,2,3962,4
48782,0,4068,2
48790,1,4069,5
48827,0,4072,3
48968,0,4083,7
48982,2,4085,8
49096,3,4094,9
49703,3,4145,6
49720,0,4146,1
49814,2,4154,10
49844,2,4156,5
50049,1,4173,4
50059,1,4174,4
50071,0,4175,1
50120,1,4179,8
50610,3,4220,7
50621,1,4221,5
50637,3,4222,6
50659,1,4224,3
50684,1,4226,2
50690,0,4227,4
50716,2,4229,9
50728,0,4230,3
51817,1,4321,4
51828,2,4322,4
51846,3,4323,7
51851,1,4324,3
51869,3,4325,9
51883,3,4326,8
51896,3,4327,10
51900,1,4328,8
51918,1,4329,3
51925,0,4330,4
51955,2,4332,3
52001,0,4336,2
52017,4,4337,6
52028,4,4338,7
52035,2,4339,5
52208,1,4353,5
52445,0,4373,5
52455,0,4374,4
52462,1,4375,4
52478,0,4376,1
52490,2,4377,8
52497,1,4378,4
52510,2,4379,4
52526,0,4380,3
52533,1,4381,9
52550,2,4382,8
52568,1,4383,6
52572,1,4384,4
52599,0,4386,2
52607,0,4387,0
52656,0,4391,1
55557,2,4633,8
55581,2,4635,2
55626,0,4639,9
55668,0,4642,0
55862,0,4659,2
55882,2,4660,6
55904,0,4662,1
55929,0,4664,0
56346,2,4699,4
56469,2,4709,8
56851,2,4741,6
56876,1,4743,5
57320,0,4780,6
57431,0,4789,1
57534,0,4798,3
58016,1,4838,4
58271,1,4859,4
58362,0,4867,7
58534,2,4881,8
58880,1,4911,4
58996,2,4921,9
59080,1,4928,4
59258,1,4942,5
59457,1,4959,7
59474,2,4960,5
59704,2,4980,3
59940,0,4999,3
60086,1,5011,4
60187,2,5020,5
60447,0,5042,0
60467,3,5043,6
60808,0,5072,4
60819,0,5073,3
60919,2,5081,6
60980,2,5086,5
61546,1,5133,4
61555,0,5134,1
61725,1,5148,5
62057,0,5176,1
62316,1,5197,4
62379,3,5203,12
62462,0,5209,0
62549,2,5217,4
62877,1,5244,6
63072,2,5260,4
63156,2,5267,7
63217,0,5272,1
63228,4,5273,10
63506,0,5296,0
63665,0,5310,1
63686,0,5311,2
63825,1,5323,9
64152,2,5350,6
64202,1,5354,3
64241,4,5358,12
64360,2,5368,6
64588,2,5387,6
64859,1,5409,6
64964,0,5418,5
65229,0,5440,2
65242,1,5441,3
65569,1,5468,2
65603,0,5471,1
66093,0,5513,0
66169,1,5519,1
66277,1,5528,6
66303,1,5530,4
66308,0,5531,2
66360,0,5535,2
66422,0,5540,5
66562,0,5552,6
66578,1,5553,5
66587,2,5554,8
66603,3,5555,9
66615,2,5556,7
66732,2,5566,7
66895,4,5580,13
66991,0,5588,6
67099,5,5597,12
67366,1,5619,5
67412,1,5623,3
67433,2,5624,5
67536,1,5633,3
67622,0,5640,3
67663,1,5644,3
67870,1,5661,6
67923,1,5665,7
67926,0,5666,1
67986,0,5671,1
68058,0,5677,2
68141,1,5683,7
68173,1,5686,8
68315,1,5698,6
68430,2,5708,5
68448,0,5709,3
68614,3,5723,6
68624,3,5724,10
68739,1,5733,7
68753,7,5734,14
69056,0,5760,2
69080,2,5762,8
69138,3,5767,5
69168,2,5769,5
69237,4,5775,7
69502,0,5797,5
69552,1,5801,3
69578,1,5804,4
69631,1,5808,3
69640,1,5809,4
69851,1,5826,2
69916,2,5832,7
69985,1,5837,5
70036,1,5842,5
70132,6,5850,8
70217,3,5857,5
70270,1,5861,4
70637,0,5892,1
70658,1,5894,4
70893,0,5914,4
71038,0,5926,5
71106,2,5932,7
71157,0,5936,4
71321,0,5949,0
71700,2,5981,7
71938,1,6001,4
72010,1,6007,11
72120,1,6016,5
72180,1,6021,5
72493,3,6047,7
72562,1,6053,7
72666,0,6062,0
72760,0,6069,3
72813,1,6074,9
73097,0,6097,0
73478,0,6129,1
73811,1,6157,2
74140,0,6184,4
74373,1,6204,2
74758,0,6236,1
74772,3,6237,8
74898,2,6248,8
74914,2,6249,7
74924,3,6250,6
74988,0,6255,2
75019,3,6258,7
75263,0,6278,3
75648,2,6310,3
75727,0,6317,1
75879,0,6329,2
75898,1,6331,3
75981,3,6338,11
76101,5,6348,10
76246,0,6360,3
76582,2,6388,5
76600,0,6389,0
76661,2,6394,5
76732,1,6400,5
76767,3,6403,5
76810,0,6407,1
76854,1,6411,3
76872,2,6412,10
76948,0,6419,3
77196,0,6439,2
77316,0,6449,8
77395,0,6456,1
77544,1,6468,3
77559,2,6469,5
77601,0,6473,1
77616,3,6474,8
77637,2,6476,4
77660,0,6478,4
77716,2,6483,9
77772,0,6487,3
77876,0,6496,5
77970,0,6504,3
78152,1,6519,4
78252,2,6527,5
78274,1,6529,5
78357,1,6536,4
78365,2,6537,4
78387,0,6538,1
78406,2,6540,9
78499,1,6548,7
78519,0,6549,3
78633,0,6559,4
78846,0,6577,3
78916,2,6583,4
78958,0,6586,1
79163,1,6603,4
79266,0,6612,1
79380,1,6621,7
79389,1,6622,6
79523,2,6633,8
79587,0,6638,1
79604,2,6640,5
79867,0,6662,4
80248,3,6694,5
80343,1,6701,6
80453,1,6711,2
80671,1,6729,4
80767,0,6737,6
80937,0,6751,1
81149,2,6769,12
81205,3,6774,5
81302,2,6782,3
81311,1,6783,2
81435,2,6793,2
81470,1,6796,6
81574,0,6805,2
81587,2,6806,6
81607,1,6807,10
81617,1,6808,3
81622,1,6809,8
81639,1,6810,2
81655,1,6811,2
81857,0,6828,1
81861,0,6829,4
82039,0,6844,1
82049,2,6845,6
82134,2,6852,4
82159,0,6854,0
82254,1,6862,8
82416,2,6875,6
82476,1,6880,8
82492,1,6881,3
82502,2,6882,5
82657,0,6895,5
82665,1,6896,5
82747,2,6903,5
82973,1,6922,4
83176,2,6938,10
83214,0,6942,4
83228,0,6943,2
83409,3,6958,10
83577,1,6972,9
83595,1,6974,8
83957,2,7004,6
84134,2,7019,11
84221,1,7026,4
84295,1,7032,6
84310,1,7033,1
84315,0,7034,2
84332,2,7035,7
84643,3,7061,11
84654,1,7062,4
84679,1,7064,5
84693,1,7065,4
84697,0,7066,2
84746,0,7070,2
84949,0,7087,2
84970,2,7088,8
84995,1,7090,4
85022,0,7093,0
85063,1,7096,3
85187,0,7106,4
85303,1,7116,9
85359,0,7121,1
85401,2,7124,6
85411,0,7125,2
85789,3,7157,8
85899,0,7166,2
85927,2,7168,7
85937,0,7169,4
85971,2,7172,4
86140,1,7186,2
86341,2,7203,8
86475,1,7214,8
86652,3,7229,6
86692,0,7232,4
86843,4,7244,6
87200,0,7274,1
87208,0,7275,2
87220,2,7276,7
87489,0,7298,5
87574,3,7305,5
87630,1,7310,10
87643,1,7311,3
87707,2,7316,4
87817,0,7326,1
88202,0,7358,1
88244,2,7361,7
88282,0,7364,2
88367,0,7371,0
88599,1,7391,2
88783,1,7406,9
88892,0,7415,3
88900,1,7416,1
89102,0,7433,1
89390,4,7457,11
89458,0,7462,9
89612,0,7475,5
89661,1,7479,8
89696,1,7482,5
89811,0,7492,1
89904,1,7500,5
89980,0,7506,1
90087,1,7515,8
90131,1,7519,4
90145,2,7520,10
90218,2,7526,5
90560,1,7554,4
90572,1,7555,3
90938,2,7586,4
91064,0,7596,4
91223,0,7610,7
91578,1,7639,8
91666,0,7646,2
91904,1,7666,5
91962,1,7671,4
92074,0,7680,2
92088,2,7682,5
92104,0,7683,1
92158,4,7687,10
92173,1,7689,3
92189,1,7690,6
92552,0,7720,0
92608,0,7725,1
92653,0,7729,2
92724,0,7735,5
92878,3,7747,5
92901,1,7749,1
93067,3,7763,7
93071,0,7764,0
93438,1,7794,3
93494,0,7799,2
93524,2,7801,9
93556,0,7804,1
93580,0,7806,12
93733,0,7819,1
93863,1,7830,6
93890,1,7832,3
93906,1,7833,8
93985,0,7840,3
93995,0,7841,4
94017,2,7842,4
94396,1,7875,5
94429,2,7878,6
94447,1,7879,4
94490,2,7883,10
94584,0,7890,1
94785,0,7907,3
94916,1,7918,3
95061,3,7930,10
95334,1,7953,4
95437,5,7962,11
95482,2,7965,7
95492,4,7966,7
95518,0,7968,5
95521,0,7969,3
95691,0,7983,4
95976,1,8006,9
95989,1,8008,9
96130,0,8019,1
96315,4,8035,11
96603,0,8059,4
96661,0,8064,2
96825,0,8077,0
96952,2,8088,6
97089,2,8099,8
97266,2,8114,3
97399,2,8125,6
97412,1,8126,3
97539,0,8137,2
97611,3,8143,5
97697,1,8150,9
97800,0,8158,3
98174,0,8190,5
98187,0,8191,1
98206,1,8192,3
98325,0,8202,5
98354,0,8205,1
98602,1,8225,1
98619,1,8227,1
98671,3,8231,7
98777,1,8240,6
98845,0,8246,2
98983,3,8257,8
98993,3,8258,8
99012,0,8259,3
99189,2,8274,3
99198,0,8275,1
99284,1,8282,6
99333,2,8286,6
99338,1,8287,4
99456,0,8296,5
99474,0,8298,3
99566,1,8306,2
99671,0,8314,1
99722,1,8319,2
99817,0,8327,4
99831,0,8328,3
99857,0,8330,1
100259,2,8363,8
100455,1,8380,2
100465,1,8381,9
100480,1,8382,2
100492,1,8383,2
100565,4,8389,9
100635,2,8395,4
100689,0,8399,0
100722,4,8402,13
100788,1,8407,3
100799,1,8408,6
101076,0,8431,0
101122,0,8435,1
101223,1,8444,5
101237,1,8445,6
101285,3,8449,7
101368,1,8456,4
101642,0,8479,1
101736,1,8486,3
101860,0,8497,2
102148,1,8521,5
102299,2,8533,10
102333,1,8536,3
102415,1,8543,3
102824,1,8577,1
103006,0,8593,1
103029,0,8594,0
103188,2,8608,4
103215,2,8610,10
103268,1,8614,5
103349,0,8621,1
103508,1,8634,3
103551,1,8638,7
103602,3,8642,7
103606,0,8643,4
103618,1,8644,11
103638,2,8645,6
103760,0,8655,7
103861,1,8664,4
104095,0,8683,1
104471,2,8715,9
104578,0,8724,1
104614,0,8727,3
104648,1,8729,2
104702,2,8734,10
104731,0,8736,0
104855,0,8747,2
105350,2,8788,3
105394,1,8792,6
105528,0,8803,6
