,пятерочки,выручка
231,2,53794234.865
232,2,54598467.041
233,2,52680250.44
234,2,53685384.354
235,2,49347808.383
236,2,50633902.711
237,2,57341942.436
238,2,58447420.917
239,2,65469796.544
240,1,114497277.687
241,1,115671429.471
242,1,128216261.021
243,1,114727325.411
244,1,117462015.752
245,1,111827063.076
246,1,109904957.502
247,1,109876391.815
248,1,103195684.349
249,1,103086057.878
250,1,103765085.192
251,1,122408707.958
252,2,46195933.236
253,2,44501275.391
254,2,48535205.22
255,2,47677089.974
256,2,47893009.79
257,2,43044532.407
258,2,41184068.243
259,2,42566070.601
260,2,43502948.938
261,2,46853578.134
262,2,48094684.92
263,2,53492745.25
264,1,63125860.481
265,1,66893580.329
266,1,72326777.278
267,1,64934499.835
268,1,69131994.783
269,1,63413346.281
270,1,60127298.54
271,1,62300945.667
272,1,67313922.006
273,1,68509680.143
274,1,73347108.934
275,1,79854273.123
276,5,49298227.712
277,5,49915285.572
278,5,53608782.687
279,5,50351386.96
280,5,52968645.74
281,5,50582035.884
282,5,52452591.145
283,5,50755900.859
284,5,50568637.246
285,5,53954008.334
286,5,54819888.267
287,5,63729142.681
288,2,61434024.499
289,2,60896823.598
290,2,66552396.469
291,2,61936907.378
292,2,65220447.322
293,2,60950046.145
294,2,60394818.443
295,2,58479272.93
296,2,54099177.052
297,2,52821724.914
298,2,55107624.168
299,2,63217165.351
300,2,65562063.807
301,2,66689647.698
302,2,69753259.75
303,2,64898798.856
304,2,68956808.033
305,2,64787617.189
306,2,63204936.986
307,2,60674737.104
308,2,61543612.613
309,2,68756416.355
310,2,70621939.643
311,2,84848285.504
312,1,44768586.004
313,1,44878728.053
314,1,49439236.551
315,1,48137783.23
316,1,53353559.372
317,1,49178860.065
318,1,48179306.146
319,1,45990436.066
320,1,45481645.287
321,1,48124795.686
322,1,48065588.332
323,1,53359825.203
324,3,80122656.233
325,3,83376093.692
326,3,92085968.83
327,3,86106647.742
328,3,85794707.513
329,3,78357048.859
330,3,74620626.182
331,3,76699723.445
332,3,85634034.993
333,3,89642635.449
334,3,91982585.909
335,3,108471114.886
