,выручка,дата_открытия
357,127283816.374,Средний по возрасту
358,131225757.805,Средний по возрасту
359,147820639.445,Средний по возрасту
360,51399181.161,Средний по возрасту
361,50262365.482,Средний по возрасту
362,55571463.951,Средний по возрасту
363,55724180.164,Средний по возрасту
364,57337154.846,Средний по возрасту
365,53421082.761,Средний по возрасту
366,53739743.993,Средний по возрасту
367,53884706.538,Средний по возрасту
368,47206159.116,Средний по возрасту
369,47369896.019,Средний по возрасту
370,48311427.303,Средний по возрасту
371,54714906.736,Средний по возрасту
372,100528481.582,Средний по возрасту
373,107418813.993,Средний по возрасту
374,116366237.7,Средний по возрасту
375,110889058.379,Средний по возрасту
376,109666337.07,Средний по возрасту
377,102538454.608,Средний по возрасту
378,98444724.099,Средний по возрасту
379,98337004.185,Средний по возрасту
380,106065881.063,Средний по возрасту
381,110219422.339,Средний по возрасту
382,113337548.042,Средний по возрасту
383,128722085.199,Средний по возрасту
384,70871509.185,Средний по возрасту
385,73641720.554,Средний по возрасту
386,80591716.574,Средний по возрасту
387,76198170.614,Средний по возрасту
388,75615949.244,Средний по возрасту
389,70748582.496,Средний по возрасту
390,72509373.202,Средний по возрасту
391,72176945.512,Средний по возрасту
392,71127063.718,Средний по возрасту
393,72720568.116,Средний по возрасту
394,72915792.993,Средний по возрасту
395,82091723.346,Средний по возрасту
396,57731970.675,Средний по возрасту
397,60462391.557,Средний по возрасту
398,67695406.542,Средний по возрасту
399,65617296.407,Средний по возрасту
400,67728440.047,Средний по возрасту
401,67409384.75,Средний по возрасту
402,69734679.014,Средний по возрасту
403,68070147.441,Средний по возрасту
404,67590383.249,Средний по возрасту
405,71904342.99,Средний по возрасту
406,70546771.187,Средний по возрасту
407,77998695.66,Средний по возрасту
408,59812049.949,Средний по возрасту
409,65235803.86,Средний по возрасту
410,68649515.837,Средний по возрасту
411,65996419.467,Средний по возрасту
412,69604092.053,Средний по возрасту
413,64855058.691,Средний по возрасту
414,64696159.814,Средний по возрасту
415,66342386.911,Средний по возрасту
416,68707394.634,Средний по возрасту
417,78009267.22,Средний по возрасту
418,80328793.148,Средний по возрасту
